Year,City,Region,Population,Waste and Sewage,Machinery,Electricity and District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2010,Seinaejoki,South Ostrobothnia,57811.0,34.0,29.0,208.0,100.7,92.3,143.9,23.4,646.0
2015,Seinaejoki,South Ostrobothnia,61530.0,26.8,26.2,175.0,60.8,97.0,125.1,13.2,538.2
2016,Seinaejoki,South Ostrobothnia,62052.0,25.1,26.8,197.7,64.4,101.1,137.6,8.2,574.8
2017,Seinaejoki,South Ostrobothnia,62676.0,23.8,28.7,182.0,60.5,100.5,126.5,8.6,543.4
2018,Seinaejoki,South Ostrobothnia,63288.0,23.0,28.9,196.7,60.4,100.6,129.3,7.3,558.6
2019,Seinaejoki,South Ostrobothnia,63781.0,22.4,36.1,188.7,56.2,102.2,124.3,6.5,548.2
2020,Seinaejoki,South Ostrobothnia,64130.0,21.5,25.8,169.3,46.0,102.3,116.5,6.2,498.7
2021,Seinaejoki,South Ostrobothnia,64736.0,20.3,25.4,156.4,51.3,99.6,111.8,4.7,479.7
2022,Seinaejoki,South Ostrobothnia,65323.0,19.2,23.7,110.2,44.6,99.0,108.7,7.5,422.3
1990,Turku,Southwest Finland,159180.0,85.1,21.4,458.6,359.4,6.1,349.8,86.5,1368.7
2005,Turku,Southwest Finland,174868.0,63.9,20.3,585.1,152.3,4.1,296.5,57.8,1213.5
2010,Turku,Southwest Finland,177326.0,53.8,24.7,750.2,157.9,4.3,276.4,35.7,1343.5
2015,Turku,Southwest Finland,185908.0,40.9,21.0,455.6,87.0,4.0,246.2,19.3,910.5
2016,Turku,Southwest Finland,187604.0,37.8,18.2,505.8,93.3,4.4,269.0,16.7,980.1
2017,Turku,Southwest Finland,189669.0,38.3,21.4,476.9,80.3,4.2,249.8,15.5,919.4
2018,Turku,Southwest Finland,191331.0,34.8,33.8,428.9,79.3,4.1,251.9,13.6,877.1
2019,Turku,Southwest Finland,192962.0,34.9,28.7,310.6,68.4,4.5,240.8,11.0,728.2
2020,Turku,Southwest Finland,194391.0,33.6,31.8,187.9,59.0,4.3,216.0,10.4,571.3
2021,Turku,Southwest Finland,195137.0,32.1,31.5,247.9,66.9,4.2,200.7,8.1,617.2
2022,Turku,Southwest Finland,197900.0,30.8,32.1,225.7,58.5,4.0,193.0,13.7,582.4
1990,Mariehamn,Aaland,10263.0,6.2,1.0,18.2,22.3,0.0,39.2,2.7,89.7
2005,Mariehamn,Aaland,10780.0,5.0,1.0,33.6,15.1,0.0,32.6,2.7,92.6
2010,Mariehamn,Aaland,11190.0,4.4,1.1,31.5,14.7,0.0,33.0,1.9,89.2
2015,Mariehamn,Aaland,11461.0,3.3,1.3,12.0,8.6,0.0,33.4,1.6,62.5
2016,Mariehamn,Aaland,11565.0,3.1,1.1,15.4,9.3,0.0,36.1,1.3,69.0
2017,Mariehamn,Aaland,11677.0,2.9,1.1,14.3,8.6,0.0,34.8,1.7,66.1
2018,Mariehamn,Aaland,11743.0,2.8,0.7,18.7,8.4,0.0,30.4,1.4,64.8
2019,Mariehamn,Aaland,11679.0,2.7,0.9,17.1,7.4,0.0,32.7,1.2,64.2
2020,Mariehamn,Aaland,11705.0,2.6,1.0,7.9,6.3,0.1,22.9,1.3,44.3
2021,Mariehamn,Aaland,11742.0,2.4,0.6,12.9,6.2,0.1,20.6,1.0,45.7
2022,Mariehamn,Aaland,11757.0,2.2,0.5,8.5,5.4,0.0,20.3,1.5,40.0
1990,Kokkola,Central Ostrobothnia,43267.0,36.9,17.3,79.8,69.4,88.7,114.0,78.1,484.7
2005,Kokkola,Central Ostrobothnia,44627.0,25.8,18.1,93.0,68.0,99.1,115.3,101.4,530.6
2010,Kokkola,Central Ostrobothnia,46260.0,22.2,24.3,122.0,72.2,100.3,117.7,56.6,527.0
2015,Kokkola,Central Ostrobothnia,47570.0,18.5,18.4,65.8,39.7,99.7,101.6,50.1,405.0
2016,Kokkola,Central Ostrobothnia,47723.0,17.7,18.1,80.7,43.1,99.3,109.3,47.3,425.6
2017,Kokkola,Central Ostrobothnia,47723.0,17.0,17.4,65.9,40.1,97.4,101.7,48.2,396.8
2018,Kokkola,Central Ostrobothnia,47657.0,16.7,17.7,78.0,39.1,97.0,103.8,39.9,401.2
2019,Kokkola,Central Ostrobothnia,47681.0,16.6,17.4,74.1,36.0,96.7,98.7,43.2,391.2
2020,Kokkola,Central Ostrobothnia,47772.0,16.1,17.8,54.1,32.7,95.7,93.1,42.7,360.2
2021,Kokkola,Central Ostrobothnia,47909.0,15.5,15.6,51.2,35.6,92.5,89.5,46.9,354.3
2022,Kokkola,Central Ostrobothnia,48006.0,14.8,14.7,51.2,32.3,90.5,83.3,40.0,333.3
1990,Haemeenlinna,Kanta-Haeme,61222.0,58.4,28.1,107.6,82.5,72.5,136.9,26.8,513.4
2005,Haemeenlinna,Kanta-Haeme,64271.0,35.1,30.4,148.5,69.8,58.3,152.9,25.2,534.7
2010,Haemeenlinna,Kanta-Haeme,66829.0,30.0,26.9,177.1,83.9,54.4,150.7,18.8,558.7
2015,Haemeenlinna,Kanta-Haeme,68011.0,18.2,24.5,97.0,49.0,54.6,127.1,19.7,405.7
2016,Haemeenlinna,Kanta-Haeme,67850.0,15.3,22.6,106.1,54.0,55.9,141.8,17.6,428.2
2017,Haemeenlinna,Kanta-Haeme,67662.0,12.9,26.4,98.3,49.5,54.6,133.6,17.5,406.7
2018,Haemeenlinna,Kanta-Haeme,67532.0,12.4,25.6,105.3,50.5,54.5,135.0,14.8,410.9
2019,Haemeenlinna,Kanta-Haeme,67633.0,12.3,25.3,95.7,45.1,55.4,129.5,15.5,391.4
2020,Haemeenlinna,Kanta-Haeme,67848.0,14.2,28.4,61.3,39.1,57.3,120.1,15.5,347.8
2021,Haemeenlinna,Kanta-Haeme,67971.0,13.9,24.0,48.9,43.8,55.3,114.6,16.6,328.3
2022,Haemeenlinna,Kanta-Haeme,68043.0,13.7,23.2,45.8,38.3,55.1,112.1,21.8,320.3
1990,Rovaniemi,Lapland,54014.0,48.0,27.8,169.0,87.8,38.8,155.6,5.6,533.3
2005,Rovaniemi,Lapland,57835.0,34.3,30.3,187.3,75.6,28.0,139.5,5.9,515.1
2010,Rovaniemi,Lapland,60090.0,38.2,27.7,235.5,84.9,26.3,138.7,4.6,572.4
2015,Rovaniemi,Lapland,61838.0,38.9,26.2,117.6,52.6,25.1,122.7,4.1,402.4
2016,Rovaniemi,Lapland,62231.0,38.1,26.6,112.1,54.0,24.7,138.4,3.6,412.1
2017,Rovaniemi,Lapland,62420.0,31.4,30.0,111.3,50.9,24.2,131.0,4.7,397.1
2018,Rovaniemi,Lapland,62922.0,28.2,27.0,121.5,49.6,24.7,135.4,3.9,403.4
2019,Rovaniemi,Lapland,63042.0,28.4,30.2,111.7,46.0,24.3,131.9,3.4,388.9
2020,Rovaniemi,Lapland,63528.0,25.7,33.8,89.0,38.5,24.3,123.4,3.3,349.9
2021,Rovaniemi,Lapland,64180.0,25.9,28.0,62.6,41.1,23.4,117.9,2.7,313.0
2022,Rovaniemi,Lapland,64535.0,24.5,28.1,71.0,36.7,22.4,115.2,3.6,311.7
1990,Oulu,North Ostrobothnia,136029.0,132.5,38.9,413.7,150.0,54.3,341.5,36.2,1168.6
2005,Oulu,North Ostrobothnia,173436.0,72.2,46.3,541.5,138.1,43.6,361.0,42.6,1278.9
2010,Oulu,North Ostrobothnia,185419.0,85.7,50.8,655.9,157.6,43.5,356.0,24.6,1416.1
2015,Oulu,North Ostrobothnia,198525.0,64.3,49.8,408.3,81.4,45.3,328.2,23.6,1040.4
2016,Oulu,North Ostrobothnia,200526.0,60.1,46.8,413.6,88.0,45.4,364.8,18.0,1074.8
2017,Oulu,North Ostrobothnia,201810.0,58.3,52.7,392.8,82.8,44.3,339.4,12.6,1019.3
2018,Oulu,North Ostrobothnia,203567.0,67.5,49.3,413.6,82.9,44.2,347.7,10.4,1050.3
2019,Oulu,North Ostrobothnia,205489.0,72.5,52.9,414.0,75.2,44.6,335.1,9.0,1036.6
2020,Oulu,North Ostrobothnia,207327.0,66.3,52.6,351.2,62.9,44.3,313.3,7.9,929.5
2021,Oulu,North Ostrobothnia,209551.0,57.2,50.2,287.1,66.6,43.7,297.0,6.8,838.1
2022,Oulu,North Ostrobothnia,211848.0,55.5,50.4,231.4,58.4,41.6,282.0,9.4,755.7
1990,Seinaejoki,Ostrobothnia,47182.0,70.1,25.4,109.4,152.8,94.0,132.7,18.6,603.5
2005,Seinaejoki,Ostrobothnia,53965.0,38.2,26.5,148.1,88.8,88.1,140.5,17.5,559.8
2010,Seinaejoki,Ostrobothnia,57811.0,34.0,29.0,208.0,100.7,92.3,143.9,23.4,646.0
2015,Seinaejoki,Ostrobothnia,61530.0,26.8,26.2,175.0,60.8,97.0,125.1,13.2,538.2
2016,Seinaejoki,Ostrobothnia,62052.0,25.1,26.8,197.7,64.4,101.1,137.6,8.2,574.8
2017,Seinaejoki,Ostrobothnia,62676.0,23.8,28.7,182.0,60.5,100.5,126.5,8.6,543.4
2018,Seinaejoki,Ostrobothnia,63288.0,23.0,28.9,196.7,60.4,100.6,129.3,7.3,558.6
2019,Seinaejoki,Ostrobothnia,63781.0,22.4,36.1,188.7,56.2,102.2,124.3,6.5,548.2
2020,Seinaejoki,Ostrobothnia,64130.0,21.5,25.8,169.3,46.0,102.3,116.5,6.2,498.7
2021,Seinaejoki,Ostrobothnia,64736.0,20.3,25.4,156.4,51.3,99.6,111.8,4.7,479.7
2022,Seinaejoki,Ostrobothnia,65323.0,19.2,23.7,110.2,44.6,99.0,108.7,7.5,422.3
1990,Lahti,Paeijaet-Haeme,108272.0,84.0,23.4,307.8,61.8,16.6,246.9,50.7,792.2
2005,Lahti,Paeijaet-Haeme,113203.0,41.7,24.6,371.2,67.3,11.2,234.6,30.8,802.6
2010,Lahti,Paeijaet-Haeme,116582.0,40.6,24.0,514.4,80.0,9.7,227.2,18.3,939.5
2015,Lahti,Paeijaet-Haeme,118743.0,32.8,23.2,291.3,47.0,8.7,196.9,15.1,639.8
2016,Lahti,Paeijaet-Haeme,119452.0,32.5,22.4,298.5,51.3,9.8,217.4,16.8,671.2
2017,Lahti,Paeijaet-Haeme,119573.0,28.9,22.9,280.1,47.3,9.5,204.2,19.9,633.8
2018,Lahti,Paeijaet-Haeme,119951.0,29.9,22.8,315.4,46.4,8.7,207.2,17.6,667.4
2019,Lahti,Paeijaet-Haeme,119823.0,29.2,23.3,214.5,42.4,8.7,197.7,15.4,550.3
2020,Lahti,Paeijaet-Haeme,119984.0,28.1,27.5,116.3,33.4,8.3,183.3,13.4,428.5
2021,Lahti,Paeijaet-Haeme,120027.0,28.6,20.5,123.6,37.2,7.6,173.6,14.1,421.9
2022,Lahti,Paeijaet-Haeme,120175.0,27.3,24.0,108.8,32.4,7.2,166.5,20.0,401.4
1990,Lappeenranta,South Karelia,68662.0,66.0,30.5,127.2,70.7,71.2,170.9,22.9,560.1
2005,Lappeenranta,South Karelia,71435.0,47.4,30.1,166.3,58.1,50.9,171.8,20.4,558.8
2010,Lappeenranta,South Karelia,71982.0,45.1,29.9,196.7,67.6,48.7,165.7,13.5,583.3
2015,Lappeenranta,South Karelia,72875.0,38.5,30.0,113.0,38.0,42.9,143.7,9.5,430.5
2016,Lappeenranta,South Karelia,72872.0,35.3,26.8,122.7,41.0,44.0,157.0,10.2,450.9
2017,Lappeenranta,South Karelia,72909.0,32.7,28.1,99.5,38.3,42.0,146.3,9.2,409.6
2018,Lappeenranta,South Karelia,72699.0,32.1,26.3,135.3,37.6,41.6,147.7,7.6,441.1
2019,Lappeenranta,South Karelia,72634.0,31.3,27.6,101.8,34.8,43.2,142.4,6.5,400.9
2020,Lappeenranta,South Karelia,72662.0,31.8,27.9,79.4,31.3,43.1,131.4,6.5,363.9
2021,Lappeenranta,South Karelia,72634.0,29.8,25.2,86.0,34.2,40.2,126.5,5.6,359.0
2022,Lappeenranta,South Karelia,72650.0,28.4,24.0,88.2,30.1,38.6,117.4,8.8,346.7
1990,Mikkeli,South Savo,54404.0,43.7,23.8,134.2,74.2,61.6,135.1,19.0,492.2
2005,Mikkeli,South Savo,54728.0,23.8,24.5,133.3,64.5,46.6,131.3,17.6,454.2
2010,Mikkeli,South Savo,54455.0,25.4,21.5,164.6,71.8,44.2,126.7,11.1,480.0
2015,Mikkeli,South Savo,54665.0,23.5,21.5,69.7,38.7,40.9,108.9,8.2,325.4
2016,Mikkeli,South Savo,54517.0,23.9,21.1,81.3,42.8,40.9,115.4,7.3,345.6
2017,Mikkeli,South Savo,54261.0,22.6,24.8,68.4,38.3,38.5,111.1,7.2,322.9
2018,Mikkeli,South Savo,53818.0,21.7,22.9,80.2,38.7,38.2,111.3,4.9,328.8
2019,Mikkeli,South Savo,53134.0,21.2,21.9,66.8,34.1,38.6,108.3,4.5,306.0
2020,Mikkeli,South Savo,52583.0,20.4,22.2,55.1,30.0,38.2,101.3,3.7,281.1
2021,Mikkeli,South Savo,52122.0,20.7,22.5,69.7,33.2,35.6,96.9,4.1,291.7
2022,Mikkeli,South Savo,51980.0,19.7,21.5,60.0,28.6,33.8,93.0,5.1,269.7
1990,Helsinki,Uusimaa,492400.0,265.4,44.0,2057.5,174.4,0.7,959.8,69.6,3576.6
2005,Helsinki,Uusimaa,560905.0,87.7,47.9,1909.6,133.0,1.6,838.7,37.9,3156.9
2010,Helsinki,Uusimaa,588549.0,81.0,43.7,2437.6,140.5,1.7,794.4,28.3,3643.6
2015,Helsinki,Uusimaa,628208.0,73.3,58.1,1506.3,81.4,1.7,679.6,17.8,2524.2
2016,Helsinki,Uusimaa,635181.0,58.4,55.3,1868.6,88.0,1.8,735.6,16.0,2932.8
2017,Helsinki,Uusimaa,643272.0,54.7,66.0,1799.1,77.2,1.6,702.1,18.3,2820.8
2018,Helsinki,Uusimaa,648042.0,50.7,78.7,1780.9,79.8,1.8,704.9,13.7,2811.8
2019,Helsinki,Uusimaa,653835.0,42.0,91.6,1665.9,69.0,1.4,681.7,12.5,2660.0
2020,Helsinki,Uusimaa,656920.0,40.0,94.0,1385.8,58.6,1.3,635.9,11.7,2319.0
2021,Helsinki,Uusimaa,658457.0,29.3,78.4,1567.2,64.7,1.6,599.2,10.6,2435.4
2022,Helsinki,Uusimaa,664028.0,25.1,69.6,1758.8,56.0,1.7,568.9,9.2,2569.7
